Model,AUC,AUC_3D,AUC_delta_vs_3D,AUC_CI_low,AUC_CI_high,AUC_P_wald,AUC_P_bootstrap,AUC_sig
2D_radiomics,0.916072543886046,0.9363060656085933,-0.020233521722547332,-0.043213935751810546,0.0017716703487103507,0.07859208355078628,0.084,ns
CNN_ResNet50,0.8643740039886468,0.9363060656085933,-0.07193206161994647,-0.11020091146396357,-0.0340975986273439,0.0002148177014327235,0.0,***
disc_csf_ratio,0.7599459006457917,0.9363060656085933,-0.1763601649628016,-0.22648147700197865,-0.12079673552902236,4.9930504175677015e-11,0.0,***
MeshVolume,0.5520691485989224,0.9363060656085933,-0.3842369170096709,-0.4526793251940414,-0.3155300279819197,0.0,0.0,***
