,3D_radiomics,2D_radiomics,CNN_RadImageNet,CNN_ImageNet,disc_csf_ratio,MeshVolume
3D_radiomics,1.0,0.07859208355078628,0.00042734896452234494,0.0002148177014327235,4.9930504175677015e-11,0.0
2D_radiomics,0.07859208355078628,1.0,0.017240134511367522,0.023069636171527907,3.1055762406140275e-08,0.0
CNN_RadImageNet,0.00042734896452234494,0.017240134511367522,1.0,0.6731399789597503,0.00022117376410180078,2.220446049250313e-16
CNN_ImageNet,0.0002148177014327235,0.023069636171527907,0.6731399789597503,1.0,0.00014108373064436464,1.7763568394002505e-15
disc_csf_ratio,4.9930504175677015e-11,3.1055762406140275e-08,0.00022117376410180078,0.00014108373064436464,1.0,1.2596990184299273e-07
MeshVolume,0.0,0.0,2.220446049250313e-16,1.7763568394002505e-15,1.2596990184299273e-07,1.0
