macro_AUC,accuracy,macro_sensitivity,macro_specificity,kappa,kappa_quadratic,macro_AUC_ci_low,macro_AUC_ci_high,accuracy_ci_low,accuracy_ci_high,macro_sensitivity_ci_low,macro_sensitivity_ci_high,macro_specificity_ci_low,macro_specificity_ci_high,kappa_ci_low,kappa_ci_high,kappa_quadratic_ci_low,kappa_quadratic_ci_high,config,n_features_input,n_features_used,n_train,n_test,reduced,note
0.8643740039886468,0.5,0.4430252100840336,0.8670131183899299,0.32084188911704314,0.6653076352853966,0.8282816373565364,0.8985874319174985,0.4125,0.5873015873015873,0.320942399825784,0.5793652295608818,0.8423909404403478,0.8915246974977382,0.20298226423054852,0.4349083699667307,0.5560388550734784,0.7496950867134778,vision_resnet50_reduced,2048.0,256,504.0,126.0,True,
0.8508717566055284,0.5317460317460317,0.4890196078431373,0.8756132139465473,0.363254817987152,0.68579475444464,0.8130049347907974,0.8852257329778527,0.4444444444444444,0.6190476190476191,0.3663349834536452,0.6266470901763255,0.8517166484190288,0.8985475948066898,0.2508498609135621,0.4754842056774427,0.5875172827005418,0.7705295951411041,vision_resnet50_topvar512,2048.0,512,504.0,126.0,False,
0.9363060656085932,0.753968253968254,0.6392717086834734,0.9312823167170994,0.6538154746078171,0.8711656441717791,0.9127925341655584,0.9584426287631588,,,,,,,,,,,3D_primary_ref,,517,504.0,126.0,,
0.916072543886046,0.7063492063492064,0.6060877684407096,0.923346723056868,0.5970613656006916,0.8231785756051924,0.8841490243183676,0.9452385585001596,,,,,,,,,,,2D_midsagittal_ref,,244,504.0,126.0,,
0.7599459006457917,0.4285714285714285,,,,0.6320927394752898,0.714016573799161,0.8066714443498998,,,,,,,,,,,simple_best_single_ref,,1,,,,disc_csf_mean_ratio
