macro_AUC,accuracy,macro_sensitivity,macro_specificity,kappa,kappa_quadratic,macro_AUC_ci_low,macro_AUC_ci_high,accuracy_ci_low,accuracy_ci_high,macro_sensitivity_ci_low,macro_sensitivity_ci_high,macro_specificity_ci_low,macro_specificity_ci_high,kappa_ci_low,kappa_ci_high,kappa_quadratic_ci_low,kappa_quadratic_ci_high,config,n_features_input,n_features_used,n_train,n_test,reduced,note
0.791783498595634,0.47619047619047616,0.3948832866479925,0.8615276081942749,0.2905042231891476,0.6628738804709063,0.7471206465543213,0.8370139575325402,0.3888888888888889,0.563690476190476,0.28698154283731253,0.5287676834399108,0.8388175233518395,0.8855322614424219,0.18125544441267324,0.40493426543659033,0.5689567414564876,0.7473423954378479,vision_radimagenet_official_imagenet_mean_std_reduced,2048.0,256,504.0,126.0,True,
0.788263016769255,0.46825396825396826,0.36104575163398694,0.8574650657983991,0.2717391304347826,0.5960596875728609,0.7423032864858607,0.8319866982404588,0.38095238095238093,0.5634920634920635,0.2708448133301851,0.4751851390130163,0.8342093876126897,0.8832615331817938,0.15927185740174657,0.3887309787278398,0.47735740617581834,0.7025492656046672,vision_radimagenet_official_imagenet_mean_std_topvar512,2048.0,512,504.0,126.0,False,
0.9363060656085932,0.753968253968254,0.6392717086834734,0.9312823167170994,0.6538154746078171,0.8711656441717791,0.9127925341655584,0.9584426287631588,,,,,,,,,,,3D_primary_ref,,517,504.0,126.0,,
0.916072543886046,0.7063492063492064,0.6060877684407096,0.923346723056868,0.5970613656006916,0.8231785756051924,0.8841490243183676,0.9452385585001596,,,,,,,,,,,2D_midsagittal_ref,,244,504.0,126.0,,
0.7599459006457917,0.4285714285714285,,,,0.6320927394752898,0.714016573799161,0.8066714443498998,,,,,,,,,,,simple_best_single_ref,,1,,,,disc_csf_mean_ratio
