feature,feature_label,macro_AUC,macro_AUC_ci_low,macro_AUC_ci_high,accuracy,macro_sensitivity,macro_specificity,kappa,kappa_quadratic,spearman_rho_vs_grade,spearman_p,n_features,n_train,n_test,config,accuracy_ci_low,accuracy_ci_high,macro_sensitivity_ci_low,macro_sensitivity_ci_high,macro_specificity_ci_low,macro_specificity_ci_high,kappa_ci_low,kappa_ci_high,kappa_quadratic_ci_low,kappa_quadratic_ci_high
dhi,DHI (disc height index),0.5475328188448123,0.46872707511656875,0.6211416416512398,0.2619047619047619,0.25355742296918765,0.8122554605887938,0.05454252057447151,0.05903667697746373,0.08676413994790433,0.02969969139247405,1,504.0,126.0,single_dhi,0.18253968253968253,0.33353174603174585,0.15376289827553183,0.3792546713807474,0.7915991912059102,0.8312132524294391,-0.039865251741237465,0.1436832474606972,-0.09827080230920038,0.21009128769430985
delta_peak_si_norm,Normalized peak SI difference (Waldenberg-style),0.645237438121814,0.5855313929541923,0.7049807653058765,0.3333333333333333,0.32659197012138186,0.8337562598432164,0.14967462039045543,0.2658752673154977,0.2156055206389794,4.620854726385177e-08,1,504.0,126.0,single_delta_peak_si_norm,0.25396825396825395,0.42063492063492064,0.2252192451140185,0.4150063950796672,0.814405068473103,0.8559814883003724,0.0627043422152384,0.24997349129244778,0.10320386907762576,0.40964815367466145
disc_csf_mean_ratio,Disc/CSF mean SI ratio,0.7599459006457917,0.714016573799161,0.8066714443498998,0.42857142857142855,0.4791223155929038,0.8590190110479966,0.27214377406931967,0.6320927394752898,-0.6696415319233184,3.4771824777787375e-83,1,504.0,126.0,single_disc_csf_mean_ratio,0.3490079365079365,0.5079365079365079,0.36005611305093727,0.5984488821079265,0.8369411997711814,0.8800891783301596,0.1688038905293502,0.3696440182752952,0.5335715246078634,0.7162356922682602
area_mm2,Mid-sagittal disc area (mm2),0.5771409497294658,0.5121805065968362,0.6394534090346485,0.29365079365079366,0.24752567693744165,0.8302833666601781,0.12629528632645115,0.06949211368632136,0.08287335872316805,0.03756663696995866,1,504.0,126.0,single_area_mm2,0.2222222222222222,0.373015873015873,0.1545575118409986,0.36441064026382425,0.8109667851614841,0.8494536840771565,0.04375759038383059,0.21474192896724406,-0.09248554913294793,0.2317472361999848
sphericity_2d,Mid-sagittal 2D sphericity/circularity,0.7379086006933981,0.6898918970998874,0.7856077332613193,0.30952380952380953,0.3992530345471522,0.8321427391717247,0.14745683621091932,0.5216812773951158,-0.4862770258281291,1.0518016553629841e-38,1,504.0,126.0,single_sphericity_2d,0.23015873015873015,0.3968253968253968,0.3326879337806111,0.4866123860140628,0.8106692399256308,0.8539033050746135,0.05327081876667856,0.2418658235495701,0.41093162877436473,0.6272721190443082
simple_core,All 5 simple combined,0.8987792057516952,0.8677381828574664,0.9274650056443232,0.5714285714285714,,,,0.7456338028169014,,,5,,,simple_core,,,,,,,,,,
3D_primary_ref,3D radiomics primary,0.9363060656085932,0.9127925341655584,0.9584426287631588,0.753968253968254,,,,0.8711656441717791,,,517,,,3D_primary_ref,,,,,,,,,,
