feature,spearman_rho_vs_grade,p,n
dhi,0.08676413994790433,0.02969969139247405,628
delta_peak_si_norm,0.2156055206389794,4.620854726385177e-08,630
disc_csf_mean_ratio,-0.6696415319233184,3.4771824777787375e-83,630
area_mm2,0.08287335872316805,0.03756663696995866,630
sphericity_2d,-0.4862770258281291,1.0518016553629841e-38,630
disc_height_mm,-0.06894215087423658,0.08379918022828459,630
peak_si_disc,0.2418893351263148,7.705072963083949e-10,630
delta_peak_si,-0.10670333749618768,0.007349684908870713,630
