Model,macro_AUC
RandomForest,0.9414385957185081
CatBoost,0.9363060656085933
NaiveBayes,0.9145936846048823
XGBoost,0.8980121684083848
NeuralNetwork,0.8942284523675003
Ridge,0.893330619542916
KNN,0.8857997086760161
MultinomialLogistic,0.8764674939439144
Lasso,0.8483331478262057
DecisionTree,0.8282302333722346
