Model,AUC,AUC_CatBoost,AUC_delta_vs_CatBoost,AUC_CI_low,AUC_CI_high,AUC_P_wald,AUC_P_bootstrap,AUC_sig,Sens,Sens_CatBoost,Sens_delta_vs_CatBoost,Sens_CI_low,Sens_CI_high,Sens_P_wald,Sens_P_bootstrap,Sens_sig
RandomForest,0.9414385957185081,0.9363060656085933,0.005132530109914768,-0.006622820777406021,0.016591622460181955,0.39187903112771094,0.43,ns,0.5593650793650793,0.6392717086834734,-0.0799066293183941,-0.1939339430894309,0.0025827423167848443,0.11446634130467492,0.058,ns
NaiveBayes,0.9145936846048823,0.9363060656085933,-0.02171238100371098,-0.04209101492638045,-0.0003734981120588393,0.03582658097294944,0.048,*,0.7490756302521009,0.6392717086834734,0.1098039215686275,-0.0002635560593182138,0.21166471990417599,0.038995501256667175,0.052,*
XGBoost,0.8980121684083848,0.9363060656085933,-0.03829389720020848,-0.07132152090806425,-0.01080610421015438,0.015116727076307956,0.01,*,0.5452847805788982,0.6392717086834734,-0.09398692810457521,-0.1945455851619645,0.00526434088727621,0.05598017863582139,0.074,ns
NeuralNetwork,0.8942284523675003,0.9363060656085933,-0.04207761324109305,-0.07161336295779713,-0.014754898494724288,0.005134503538508861,0.004,**,0.5373109243697479,0.6392717086834734,-0.10196078431372546,-0.21318653155706743,-0.02104388971218605,0.04438748929699754,0.01,*
Ridge,0.893330619542916,0.9363060656085933,-0.04297544606567727,-0.07302154026637923,-0.016534794667826095,0.003509069064823178,0.004,**,0.5830438842203548,0.6392717086834734,-0.05622782446311858,-0.1507979258328096,0.020081521315563833,0.18051882960369126,0.168,ns
KNN,0.8857997086760161,0.9363060656085933,-0.05050635693257721,-0.10351368940483531,-0.004594604985548301,0.04314734409499277,0.032,*,0.46969187675070023,0.6392717086834734,-0.16957983193277315,-0.2856840262408012,-0.05932386629266013,0.0028722340544318214,0.006,**
MultinomialLogistic,0.8764674939439144,0.9363060656085933,-0.059838571664678875,-0.09847318842732103,-0.0249227921662775,0.0017587215319045946,0.0,**,0.516358543417367,0.6392717086834734,-0.1229131652661064,-0.23028472222222227,-0.03264713627386436,0.012754329195154623,0.004,*
Lasso,0.8483331478262057,0.9363060656085933,-0.08797291778238758,-0.14539920190987693,-0.0331612346741052,0.001964885287878859,0.002,**,0.5787488328664799,0.6392717086834734,-0.06052287581699345,-0.11360099995227614,-0.006785954948016963,0.031064689902772002,0.02,*
DecisionTree,0.8282302333722346,0.9363060656085933,-0.10807583223635875,-0.15974923275257583,-0.06358758324327997,2.3134160528126557e-05,0.0,***,0.5199253034547152,0.6392717086834734,-0.11934640522875817,-0.2281908685375678,-0.002481060821759833,0.047907138780853176,0.05,*
