feature_class,median,mean,count
shape,1.0634441808973496,1.1543703959440155,7
glrlm,0.9940573575488257,1.0697414049546818,36
glcm,0.8926289226286837,0.9296095681866396,136
gldm,0.8686610728734612,0.9855894239794537,93
firstorder,0.8495564382048407,11.033507206275003,119
glszm,0.8467660235502341,0.9445164381435682,126
