config,class,AUC,n_test_pos,n_test_total
3D_primary,1,0.9430555555555555,6,126
3D_primary,2,0.9453689167974882,35,126
3D_primary,3,0.8759590792838874,34,126
3D_primary,4,0.9393689986282578,45,126
3D_primary,5,0.9777777777777776,6,126
2D_midsagittal,1,0.9194444444444444,6,126
2D_midsagittal,2,0.926530612244898,35,126
2D_midsagittal,3,0.8727621483375959,34,126
2D_midsagittal,4,0.9366255144032922,45,126
2D_midsagittal,5,0.925,6,126
