config,macro_AUC,macro_AUC_ci_low,macro_AUC_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,macro_sensitivity,macro_sensitivity_ci_low,macro_sensitivity_ci_high,macro_specificity,macro_specificity_ci_low,macro_specificity_ci_high,kappa,kappa_ci_low,kappa_ci_high,kappa_quadratic,kappa_quadratic_ci_low,kappa_quadratic_ci_high,n_features_input,n_features_selected,n_train,n_test,sel_n_input,sel_after_kruskal_bonferroni,sel_after_nzv,sel_after_corr,sel_final
3D_primary,0.9363060656085933,0.9127925341655583,0.9584426287631587,0.753968253968254,0.6746031746031746,0.8255952380952378,0.6392717086834734,0.5286188672438673,0.7606388070326364,0.9312823167170994,0.9092192000533899,0.9521278605288611,0.6538154746078171,0.547343383507511,0.7544233542616574,0.8711656441717791,0.82707039828872,0.9098716474992883,1762,517,504,126,1762,1548,1548,517,517
2D_midsagittal,0.916072543886046,0.8841490243183676,0.9452385585001597,0.7063492063492064,0.626984126984127,0.7857142857142857,0.6060877684407096,0.48304360621701276,0.7345506851389203,0.9233467230568679,0.903157095053036,0.9441057567408039,0.5970613656006916,0.4951777581268067,0.7022734157474955,0.8231785756051924,0.743069600475815,0.886775487824375,1209,244,504,126,1209,941,941,244,244
