feature,slope_vs_MeshVolume,intercept,train_r2
wavelet-HHH_firstorder_Variance,-0.010171427265780644,522.054393405349,0.029409990029802047
original_glcm_Contrast,-0.011629165974276401,338.28922138972837,0.04828168678450684
logarithm_firstorder_Mean,-0.006108742432984753,-252.28999423936486,0.013957254881514336
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,-0.007312563305098696,351.2509257908399,0.02188081085417448
wavelet-LLH_firstorder_Range,0.004891250411014868,654.5461580176941,0.01171556613731306
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,-0.004615997035903967,504.89648706140645,0.012665342527187318
gradient_glszm_LargeAreaLowGrayLevelEmphasis,0.003197949326063137,-13.90672825021932,0.006095873574414545
lbp-3D-m1_glszm_LargeAreaLowGrayLevelEmphasis,0.03448366620211566,-163.23471413133495,0.7187348027184028
gradient_firstorder_Variance,-0.0007409095737655284,342.2418625422427,0.0003318916748181744
log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.010534777384665623,-60.406111934042514,0.06710870178476269
wavelet-LHH_firstorder_Range,0.004888734620275194,367.02077083961666,0.014886316854021087
wavelet-LLL_firstorder_Mean,-0.009327295520850539,-53.989844424298454,0.05707054123342603
log-sigma-5-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,-0.002362664996287984,263.2853047936983,0.004679747031309245
original_firstorder_Maximum,-0.004349937892106568,183.545078110973,0.017717330038074408
wavelet-HHH_glszm_LargeAreaEmphasis,0.005561987194840906,-10.968834984907168,0.0317123592359142
lbp-3D-m2_gldm_LargeDependenceHighGrayLevelEmphasis,0.0034175434273643036,474.77597789666146,0.01287894408593071
wavelet-LLL_firstorder_InterquartileRange,-0.003842781288833345,262.3892420898195,0.0171276171860143
logarithm_firstorder_Minimum,0.0048560077314600625,-617.3660502037214,0.028448424366932068
squareroot_firstorder_Median,-0.0016718171032892456,-206.3495904151795,0.0033808972385558356
square_glrlm_RunLengthNonUniformity,0.02371262711963132,-0.7383290984865312,0.6837129274929257
wavelet-LHL_firstorder_Maximum,0.006104673419656264,274.1177115120189,0.05429741580695813
wavelet-LLL_firstorder_10Percentile,-0.0056844188013672895,-279.7620326823746,0.05633546279366697
logarithm_glszm_SizeZoneNonUniformity,0.006507497868057248,99.13535385569783,0.0809236596446008
wavelet-LLH_firstorder_Maximum,0.000809454740070108,368.3653091324742,0.001311710169880409
lbp-3D-m1_gldm_LargeDependenceHighGrayLevelEmphasis,0.0009399491351463901,354.49305640371693,0.0017850092035442966
wavelet-LLL_firstorder_Minimum,-0.005935298416786227,-397.7226300069908,0.07611844623978781
wavelet-LLH_glszm_SizeZoneNonUniformity,0.018973784894161294,66.86997039332661,0.7922080285468951
wavelet-HLL_glcm_ClusterTendency,-0.0018027198027371224,155.96029658045398,0.007425202156895683
wavelet-LHH_firstorder_Maximum,0.0029301527156992357,170.68234249336933,0.020124406873412215
lbp-3D-k_gldm_LargeDependenceLowGrayLevelEmphasis,0.0038379852148643185,166.22789611568126,0.03684776880480978
wavelet-HLH_firstorder_Range,0.003881884306681974,170.93189125860903,0.043547508662601486
exponential_gldm_LargeDependenceLowGrayLevelEmphasis,0.011806115565096448,202.5577421979843,0.43131781599082264
wavelet-LHH_glszm_SizeZoneNonUniformity,0.011780852279615586,73.68951005252765,0.4357841315720955
log-sigma-4-0-mm-3D_firstorder_Minimum,0.0018290554754289028,-53.840454812716246,0.010701457111886858
wavelet-LLH_firstorder_10Percentile,0.0006031530370157009,-171.35915649087255,0.0012301124190741142
exponential_firstorder_Kurtosis,0.00294638845774761,-10.841875664859675,0.029873424287889416
wavelet-LLH_firstorder_InterquartileRange,-0.00511363735221183,252.0984823126193,0.09482597077093713
wavelet-LHL_glszm_SizeZoneNonUniformity,0.011096239163822479,81.45877383361295,0.4684759811065363
wavelet-HHH_firstorder_Range,0.0023044252059268512,148.1437954599509,0.020826242055441258
wavelet-HLH_glszm_LargeAreaEmphasis,0.002143872176008904,-3.7310523070107884,0.0186303495283503
original_glszm_SizeZoneNonUniformity,0.007436773212281426,70.06483476995432,0.24080606187759357
lbp-3D-k_gldm_LargeDependenceHighGrayLevelEmphasis,0.006137650656688633,180.5549292339254,0.19208560803976815
wavelet-LLH_firstorder_90Percentile,0.0008844118252200599,207.26588352388896,0.004171995097230319
logarithm_firstorder_Kurtosis,0.002200461705331726,0.602751399128767,0.03482896627725052
square_firstorder_Range,5.376364384853414e-05,59.01766112306255,2.3112929545487937e-05
square_gldm_LargeDependenceLowGrayLevelEmphasis,-0.0008169631202751768,40.8009144529213,0.00605272468014606
lbp-3D-k_glrlm_RunLengthNonUniformity,0.0051079627063041816,28.560629691070787,0.24897438618386625
wavelet-HLH_glszm_SizeZoneNonUniformity,0.006169575379522803,36.57047234321854,0.3687626744197148
log-sigma-3-0-mm-3D_firstorder_Maximum,-0.002278939674179498,229.78424090792586,0.0526265478536011
log-sigma-4-0-mm-3D_firstorder_Maximum,-0.001381606142045322,222.7453065754367,0.02158830488829311
wavelet-HHH_firstorder_Maximum,0.0010657236627887431,77.61858468561115,0.013735979727623304
wavelet-HHH_glszm_SizeZoneNonUniformity,0.005177420678757063,29.344200344569245,0.3430929820897358
log-sigma-5-0-mm-3D_firstorder_Mean,0.000490908219392043,85.65687144266163,0.0032611488533033084
wavelet-HLL_glszm_LargeAreaEmphasis,0.0012980159326511933,-0.23825936697345362,0.02365973312334768
log-sigma-5-0-mm-3D_firstorder_Maximum,-0.000255916076278547,197.00474519673307,0.0009409477079695971
wavelet-HHL_glszm_SizeZoneNonUniformity,0.005072677227419201,37.70947629675896,0.38743602698587953
wavelet-LHL_firstorder_InterquartileRange,-0.0031977477199284835,118.09664064217715,0.15567648000602352
gradient_glszm_SizeZoneNonUniformity,0.0033297952469036928,20.203267673520564,0.17901644803740535
wavelet-LLH_firstorder_Median,9.99394009199749e-05,27.847248142043707,0.00016918064226489893
square_glrlm_LongRunHighGrayLevelEmphasis,0.0007999061955149631,28.73677561089,0.010884206128224827
log-sigma-5-0-mm-3D_firstorder_90Percentile,-7.264227525426991e-05,147.68906230872568,9.013935383517246e-05
exponential_gldm_DependenceNonUniformity,0.005477353961663066,-21.28631253357119,0.5202636022016964
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,-0.0019650749611508883,82.85869283310404,0.0717630475214649
gradient_gldm_GrayLevelNonUniformity,0.005135206996538296,-11.228742164775745,0.509695307387507
log-sigma-3-0-mm-3D_firstorder_90Percentile,-0.002372726163366751,153.26027339564254,0.11543537598334475
log-sigma-3-0-mm-3D_firstorder_Median,-0.000934302446150332,77.26524494849764,0.01845217589650383
gradient_glrlm_LongRunHighGrayLevelEmphasis,-0.0015425246767412355,85.09005810360487,0.054719305560021136
log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,0.004030069503997741,35.15328257508916,0.37445628678188025
gradient_firstorder_Maximum,-0.0009657086600667321,116.93389231295902,0.02297327865015497
log-sigma-5-0-mm-3D_firstorder_InterquartileRange,-0.0005841047724106781,69.38259362428005,0.00872124220189996
log-sigma-4-0-mm-3D_gldm_DependenceNonUniformity,0.00354914774924024,41.06753005067352,0.33211860298116946
wavelet-HHH_gldm_GrayLevelNonUniformity,0.003925529809956489,-1.433792609460646,0.4326034325423095
gradient_gldm_DependenceNonUniformity,0.0029100903755891975,39.66998953255334,0.2572543105425541
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,0.0005134700588072805,40.19289661424521,0.008205443213599839
gradient_glszm_SmallAreaHighGrayLevelEmphasis,-0.00038341484819630535,65.01059412386464,0.004666726104124441
log-sigma-3-0-mm-3D_gldm_GrayLevelNonUniformity,0.004037951536269832,-12.064605608974297,0.536883862011353
log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformity,0.0005723579654085187,37.54017921531464,0.012236332526756155
wavelet-LLH_firstorder_RootMeanSquared,0.0005334666690512687,1033.4791462982664,0.010914437238438879
original_firstorder_Minimum,-0.0012791719822368213,-144.43764598544305,0.06524276065136458
logarithm_gldm_GrayLevelNonUniformity,0.002310468805362458,-7.060249801705588,0.25669621694545275
log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformity,0.0008980974948228029,28.15516337924825,0.03927483568043744
lbp-3D-m1_gldm_DependenceNonUniformity,0.003945211149911781,0.5318252369841545,0.7971830399168987
square_glszm_SizeZoneNonUniformity,0.0016177012910610913,6.371562661756336,0.1371580685231908
wavelet-HLL_firstorder_90Percentile,-0.0016039183227599411,65.04246511754893,0.1616535141275699
exponential_glrlm_RunLengthNonUniformity,0.000593074933289258,40.068854985340515,0.02441349046750918
gradient_gldm_SmallDependenceHighGrayLevelEmphasis,-0.0008472108921803525,35.22317927085217,0.05423803212244305
wavelet-HLL_gldm_GrayLevelNonUniformity,0.002659684609536368,-4.390976367645241,0.6006802009973864
square_firstorder_Kurtosis,0.0002184743491171432,1.9876605315056608,0.004224164142447306
squareroot_firstorder_Kurtosis,0.0005946967694863355,2.8514733753790518,0.033170788658323125
wavelet-LHL_firstorder_Median,-0.0006281918201254069,18.844718579960627,0.037160387536328
gradient_gldm_LargeDependenceEmphasis,0.0013524273549269281,2.542945406257175,0.1733504172949729
wavelet-LHL_firstorder_RootMeanSquared,-0.0003019029957524168,1024.2266785083723,0.00899623262103244
exponential_firstorder_Maximum,-6.99370361470166e-05,6.212063591300742,0.000606755524938718
lbp-3D-m1_gldm_LargeDependenceEmphasis,0.0001995747095758518,41.766844364359265,0.005006833909350195
log-sigma-4-0-mm-3D_gldm_LargeDependenceEmphasis,0.001016572287121369,2.8405037402061044,0.1413589925944292
square_firstorder_Median,0.0005157136694606066,10.62297853095906,0.037798561622180316
gradient_firstorder_InterquartileRange,0.00013648962330780977,22.96104142352439,0.0027940017628299563
wavelet-HLL_firstorder_InterquartileRange,-0.0008450691865358381,43.22325869146295,0.10867860356092218
wavelet-HLL_firstorder_10Percentile,0.0001990156867949915,-30.48836308838825,0.006127930265771631
lbp-3D-m2_gldm_LargeDependenceEmphasis,0.0004708416188137188,46.99973523406117,0.0351737622747319
exponential_glrlm_LongRunLowGrayLevelEmphasis,0.001624962674332794,3.1413224248033877,0.5086917580567114
gradient_firstorder_Median,-0.0009330405461501005,36.298181722453734,0.1800048969737994
log-sigma-3-0-mm-3D_gldm_LargeDependenceEmphasis,0.0007896031214832502,5.2143929102394075,0.12928415170641694
wavelet-HLL_firstorder_Kurtosis,0.0006370948247243849,3.87754275056815,0.0877070238777129
lbp-3D-k_gldm_DependenceNonUniformity,0.0016373013737711417,5.9835903962129215,0.5826371945917126
wavelet-HLH_firstorder_90Percentile,-0.00031591077133487957,32.240172961105316,0.02276299673820459
square_glcm_DifferenceVariance,-0.00019094190089448176,7.0077988096023525,0.009591840682291464
wavelet-HLH_firstorder_10Percentile,0.0003971545488157572,-33.49198171655257,0.041852657217026246
gradient_glszm_GrayLevelVariance,-0.00035442433924268916,22.5636904349035,0.03916147229017086
log-sigma-5-0-mm-3D_glcm_Contrast,-9.900986313308502e-05,15.737971215523778,0.0033368479504979343
wavelet-HHL_gldm_LargeDependenceEmphasis,0.00042242364699209955,6.425645941169428,0.06223793117426191
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.0013037447022021327,-3.4730755659702996,0.6144279126918466
wavelet-HHH_firstorder_InterquartileRange,-0.0002909119710240563,23.057051388915227,0.033685662663120786
square_firstorder_10Percentile,0.0002680014060232813,1.1602318932083335,0.02891586330594831
lbp-3D-m1_firstorder_Variance,0.00023632743093605105,23.228402728868414,0.026109482131175477
exponential_firstorder_Variance,-9.732050320054884e-05,2.61204259784095,0.004527936626006368
wavelet-LHH_firstorder_RootMeanSquared,-0.00028766510942206737,1005.32991488708,0.04643508025250487
wavelet-LHH_firstorder_Median,-0.0002711471652162217,4.216855052336901,0.041331199766129534
original_shape_MajorAxisLength,0.0008762794262061083,36.218015379814034,0.4331457463989924
wavelet-HLH_gldm_LargeDependenceEmphasis,0.0002501726520553434,5.689663896137981,0.04275909150762158
exponential_gldm_DependenceVariance,0.0005815286840093835,17.251821342410917,0.23988027006793322
logarithm_gldm_LargeDependenceEmphasis,0.0002442091955021897,2.667179340680618,0.04324793227496693
wavelet-HLL_gldm_LargeDependenceEmphasis,0.0002917964289234478,5.233219114919394,0.06668154484534938
gradient_firstorder_Kurtosis,-8.794457290606232e-05,6.852311580585422,0.0062103445828264325
squareroot_glszm_GrayLevelNonUniformity,0.000740534564065739,-0.6977491591614875,0.45158564497333586
original_firstorder_Kurtosis,0.00013793780912329533,2.682234960897749,0.01631943366745947
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,5.961064419889711e-05,-0.05324512739514997,0.0030958319138725265
wavelet-LHL_firstorder_Kurtosis,0.00045395432421332726,2.502867803074227,0.18209204128789747
original_shape_Maximum2DDiameterColumn,0.0006608786638936744,40.22760975881581,0.39011431227410653
lbp-3D-m2_glrlm_LongRunHighGrayLevelEmphasis,-8.854651905482915e-05,23.294342807613106,0.007541476316313411
original_glszm_LargeAreaEmphasis,0.0002514207192272499,1.623510862377659,0.06081463524006059
lbp-3D-m1_glszm_SizeZoneNonUniformity,0.0005296724914213,2.3881467703216117,0.27183860014354766
lbp-3D-m2_firstorder_Variance,0.0003295123039953518,13.430563881133502,0.11202602448255194
lbp-3D-k_glszm_GrayLevelNonUniformity,-4.092200147682402e-05,5.967172881315374,0.0017582058311952364
wavelet-HHH_firstorder_Kurtosis,0.00013553895517145608,5.436270361411238,0.021728150222933618
gradient_firstorder_10Percentile,-0.00038089207116429134,13.659441467629375,0.17523109292961603
square_glszm_GrayLevelNonUniformity,0.0005872089865829354,3.2472905929827798,0.4403459714314779
wavelet-HLL_firstorder_Median,-0.00018865766594905963,5.808374514001982,0.046199772085586566
gradient_glszm_GrayLevelNonUniformity,0.0006444198831678041,3.753023671172487,0.560754363078219
wavelet-LHH_glszm_LargeAreaEmphasis,0.00014805990564345641,1.2770821705081465,0.030328567671089823
square_firstorder_RobustMeanAbsoluteDeviation,2.6210083909752215e-05,6.398519964947227,0.0009514414066191801
wavelet-LHH_glszm_GrayLevelNonUniformity,0.0006858633128378609,0.8678288573858612,0.7314774033626326
wavelet-HHH_glszm_GrayLevelNonUniformity,0.0006665755364349191,3.5268141389735526,0.7728237007179924
wavelet-HHL_glszm_GrayLevelNonUniformity,0.000618514870459181,3.0038885962117368,0.7257291439401012
wavelet-HLH_glszm_GrayLevelNonUniformity,0.0006646926778837303,3.137902170638057,0.8431900923613932
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,0.00042765340859916254,3.7555883164108934,0.3621962731701692
log-sigma-4-0-mm-3D_glszm_GrayLevelNonUniformity,0.0003619169084342472,4.299441521491574,0.27699518751856245
wavelet-LHL_glszm_LargeAreaEmphasis,0.00016670216149716063,1.0360010253251826,0.05890308822412449
wavelet-HLH_firstorder_Kurtosis,0.00020035259461488266,3.785750585682113,0.08789571432326282
lbp-3D-m1_gldm_LargeDependenceLowGrayLevelEmphasis,9.089538429966973e-05,7.0399007405647795,0.01862766534235727
lbp-3D-m1_glrlm_LongRunHighGrayLevelEmphasis,-0.0001261783460742491,20.462241813687864,0.03646326353556373
lbp-3D-k_glrlm_LongRunHighGrayLevelEmphasis,0.00025294552281863243,6.827923868427954,0.14752203868104152
wavelet-HLL_glszm_GrayLevelNonUniformity,0.0005616666710015898,2.554546813387673,0.7525794275797738
log-sigma-5-0-mm-3D_gldm_DependenceVariance,0.00020946465231604038,1.0934645978159612,0.1056321679539115
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.00039351373562246844,3.5962965557565,0.4124189259454082
lbp-3D-m2_gldm_DependenceVariance,8.202241455588378e-05,7.592761583604169,0.019679992043819983
lbp-3D-m1_glszm_SmallAreaHighGrayLevelEmphasis,0.00023330708942326828,5.696121542090313,0.16837489737482936
lbp-3D-m1_glszm_HighGrayLevelZoneEmphasis,0.00019406587556870995,12.681030445743659,0.12233856809447663
exponential_firstorder_90Percentile,-8.773341602775728e-05,2.7713148738315034,0.025478465063150657
lbp-3D-k_firstorder_Kurtosis,-5.054983153149901e-05,6.273455472737106,0.00870492284670421
wavelet-HHH_gldm_DependenceVariance,9.606314612783433e-05,2.1147127783088564,0.033609015704121115
lbp-3D-m2_glcm_ClusterProminence,0.00016800176342540775,5.1637472623156295,0.10521691908678232
lbp-3D-m2_glszm_HighGrayLevelZoneEmphasis,-5.720859554160614e-05,6.851730628567291,0.01270818932512574
original_shape_LeastAxisLength,0.00036393057237965685,6.053366231871536,0.5308661365151384
lbp-3D-m2_glszm_SizeZoneNonUniformity,0.0001343213514926621,2.21538760203718,0.07653983226478256
original_gldm_LargeDependenceEmphasis,0.000148772261990281,2.9116245881294236,0.09540024055687846
lbp-3D-m2_gldm_LargeDependenceLowGrayLevelEmphasis,0.00011577779530373559,5.9000429273863215,0.06095326326416417
wavelet-HLL_firstorder_Skewness,-0.00018719590261813418,1.76543524837487,0.19419393986667732
log-sigma-4-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,1.921822389422191e-05,0.20331090509835092,0.0023832192843596944
lbp-3D-m1_firstorder_10Percentile,-0.00013813570265144916,6.956501267552631,0.13568791075561415
wavelet-LHH_gldm_LargeDependenceEmphasis,0.00011939036749432466,1.9612765678326185,0.10598971522607226
wavelet-HLL_glcm_DifferenceAverage,-3.359761887072554e-05,5.9887156366856145,0.0090540328101536
log-sigma-5-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,1.2104822364168683e-05,0.3051600632305592,0.001299254047007481
exponential_glrlm_RunVariance,0.0002239468794123479,1.2063289800153125,0.48237398601166115
square_firstorder_Skewness,-3.344954727881608e-05,1.0211085813408998,0.010899910049254724
wavelet-HLH_firstorder_RootMeanSquared,6.769173686933972e-05,999.4338579692546,0.04630171343925571
square_firstorder_Minimum,-1.1263940146562704e-05,0.33186926380254383,0.0013449378170150572
log-sigma-3-0-mm-3D_firstorder_Kurtosis,4.8473696873721585e-05,2.8686373039561515,0.025343612519301728
logarithm_glcm_SumEntropy,-2.3689981297484913e-05,6.291945278572364,0.006473493730318469
lbp-3D-m1_firstorder_Median,-6.471925163276408e-05,13.34127732292115,0.05310047621597469
square_glcm_JointEntropy,5.670291273465384e-05,4.610639966102625,0.04207959516969273
gradient_firstorder_Minimum,-0.00012087309171663681,3.36440235301638,0.19226481974265452
lbp-3D-m1_firstorder_90Percentile,-4.519357866218394e-05,19.447245996211123,0.028937662006189746
lbp-3D-m2_glcm_Autocorrelation,-6.685759803741843e-05,9.20424463991184,0.06359888986728945
lbp-3D-m2_firstorder_InterquartileRange,4.8054390496006974e-05,5.199018229345397,0.03378587469612171
lbp-3D-m1_glrlm_HighGrayLevelRunEmphasis,-9.010714505267385e-05,11.307583453617822,0.1202905957521524
lbp-3D-k_glszm_SizeZoneNonUniformity,-1.7035320504347345e-05,1.9283708036424447,0.004308427919499924
lbp-3D-m2_firstorder_Median,-3.080216584964387e-05,13.531356182402256,0.0149575230327893
lbp-3D-k_firstorder_Range,8.917092593083202e-05,3.3506605512854035,0.12781063033284346
lbp-3D-m2_firstorder_Range,7.830979834003842e-05,17.951300767954287,0.11109045080082003
square_glcm_DifferenceAverage,-3.710592293798443e-06,2.034642298498433,0.00025084818306164713
lbp-3D-m1_glcm_Autocorrelation,-7.802561354916278e-05,8.995170186492688,0.11755175972186904
exponential_glszm_ZoneEntropy,-2.0091148230850657e-05,0.7201669424376822,0.008526520731820475
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,1.1588807721628226e-05,0.21468198986068598,0.0031505436949010868
log-sigma-3-0-mm-3D_glcm_JointEntropy,-7.95132398333361e-06,7.160551639647723,0.0014935025576576777
lbp-3D-m2_firstorder_Kurtosis,-2.826215957677657e-05,3.3797037245504065,0.02043172966509954
lbp-3D-m2_firstorder_Minimum,-5.6101576063077405e-05,0.941181137415227,0.08843995487306133
wavelet-LLL_firstorder_Kurtosis,-8.026835524737446e-06,2.962144267826045,0.0018876291010135882
log-sigma-5-0-mm-3D_glcm_JointEntropy,9.168593033680769e-06,6.889967717415716,0.0025537368447022812
gradient_glcm_JointEntropy,-2.079206236563972e-05,6.606995653171532,0.013218865914005784
wavelet-HHH_glcm_JointEntropy,2.3657849773959106e-05,6.551068183740833,0.01787114094136877
squareroot_glcm_JointEntropy,7.85843635851362e-05,7.608472824960882,0.21142794738149817
