simple_feature,simple_label,n_radiomics,median_abs_rho,mean_abs_rho,frac_abs_rho_gt_0.5,n_abs_rho_gt_0.5,frac_abs_rho_gt_0.7,n_abs_rho_gt_0.7,max_abs_rho
dhi,DHI,517,0.1128276302768721,0.14126480645744627,0.007736943907156673,4,0.0,0,0.5770710007745191
delta_peak_si_norm,norm_peak_SI_diff,517,0.12063700893344767,0.13049528936108395,0.0,0,0.0,0,0.40617581175509415
disc_csf_mean_ratio,disc_CSF_ratio,517,0.29380690036388196,0.31787806245834194,0.2495164410058027,129,0.03288201160541586,17,0.7635903122473869
area_mm2,midsag_area,517,0.22015472985844173,0.26853155959178626,0.18181818181818182,94,0.04061895551257253,21,0.9063983611916313
sphericity_2d,sphericity_2d,517,0.20426331786823781,0.2147596954020705,0.03481624758220503,18,0.005802707930367505,3,0.8148993985731766
