radiomic_feature,simple_feature,simple_label,spearman_rho,spearman_p,n,abs_rho
lbp-3D-m1_glrlm_RunEntropy,dhi,DHI,0.18585821784092124,2.7423379036913787e-06,628,0.18585821784092124
lbp-3D-m1_glrlm_RunEntropy,delta_peak_si_norm,norm_peak_SI_diff,-0.17098356227968486,1.5964258859979084e-05,630,0.17098356227968486
lbp-3D-m1_glrlm_RunEntropy,disc_csf_mean_ratio,disc_CSF_ratio,0.47621781740691027,5.613421637786059e-37,630,0.47621781740691027
lbp-3D-m1_glrlm_RunEntropy,area_mm2,midsag_area,0.5353183660736579,5.316389291859723e-48,630,0.5353183660736579
lbp-3D-m1_glrlm_RunEntropy,sphericity_2d,sphericity_2d,0.6086899860767871,3.991446528054049e-65,630,0.6086899860767871
exponential_gldm_SmallDependenceLowGrayLevelEmphasis,dhi,DHI,-0.12797230400020948,0.0013098594342645586,628,0.12797230400020948
exponential_gldm_SmallDependenceLowGrayLevelEmphasis,delta_peak_si_norm,norm_peak_SI_diff,-0.019319394029791725,0.6283893426617889,630,0.019319394029791725
exponential_gldm_SmallDependenceLowGrayLevelEmphasis,disc_csf_mean_ratio,disc_CSF_ratio,0.12422439180396441,0.0017845686210405636,630,0.12422439180396441
exponential_gldm_SmallDependenceLowGrayLevelEmphasis,area_mm2,midsag_area,-0.7102489073777222,8.076162452068109e-98,630,0.7102489073777222
exponential_gldm_SmallDependenceLowGrayLevelEmphasis,sphericity_2d,sphericity_2d,-0.27421824745263634,2.4902786338083723e-12,630,0.27421824745263634
original_shape_Sphericity,dhi,DHI,0.03600985679434358,0.3676421341979535,628,0.03600985679434358
original_shape_Sphericity,delta_peak_si_norm,norm_peak_SI_diff,-0.24895619353006998,2.352391534560471e-10,630,0.24895619353006998
original_shape_Sphericity,disc_csf_mean_ratio,disc_CSF_ratio,0.4376194858463682,7.38807143390541e-31,630,0.4376194858463682
original_shape_Sphericity,area_mm2,midsag_area,0.3199089823903628,1.8568309354006792e-16,630,0.3199089823903628
original_shape_Sphericity,sphericity_2d,sphericity_2d,0.7718168535013952,1.3163089550737978e-125,630,0.7718168535013952
