feature,mean_abs_shap_all,mean_abs_shap_test,mean_abs_shap_class_1,mean_abs_shap_class_2,mean_abs_shap_class_3,mean_abs_shap_class_4,mean_abs_shap_class_5,importance,importance_rank,feature_class,shap_rank
lbp-3D-m1_glcm_Autocorrelation,0.007081784965320059,0.00719328504281978,0.00848393487314507,0.00796675227090724,0.004044967088491288,0.0012537752692477486,0.013659495324808656,0.27835479817066466,96,glcm,130
squareroot_firstorder_Variance,0.007049021152631104,0.006726632604908622,0.016340786563708003,0.0012817663178695889,0.0066497533194942535,0.004055671079554236,0.006917128482529082,0.2773811689220627,97,firstorder,131
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.006880521819772551,0.00665057941702474,0.0065193752267599875,0.011070573922959947,0.00415559767743278,0.011208661480044771,0.0014484007916655529,0.1334895166150717,139,glrlm,132
square_gldm_DependenceNonUniformityNormalized,0.00680322715016322,0.006681343076522587,0.0061585564475308335,0.00045916471916663165,0.008522158672710878,0.016145241231579826,0.0027310146798272556,0.11443785164878613,149,gldm,133
logarithm_glszm_SizeZoneNonUniformityNormalized,0.006766445343152448,0.006481429262318476,0.006171303826550603,0.00913703989265689,0.0004661223557936006,0.016766712546671753,0.0012910480940893432,0.149781277922447,130,glszm,134
original_shape_Elongation,0.006711470293926592,0.006569827694598918,0.006113265765698595,0.011407462527040125,0.006683830877793458,0.006419246136521753,0.0029335461625794043,0.13771871953201323,137,shape,135
lbp-3D-m2_glcm_Idn,0.006679965569759105,0.006352785821839872,0.007193652963813579,0.00017043025190027698,0.011157695960550372,0.005265458876725769,0.009612589795805843,0.14560825265372157,132,glcm,136
wavelet-LLH_gldm_LargeDependenceEmphasis,0.006670669109002208,0.006748946201723101,0.0027075297265765613,0.0023142126490685966,0.00646900476306222,0.0076710384873388,0.014191559918965084,0.2125642466464958,114,gldm,137
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.006494576544914932,0.006474598330664991,0.0025877664655419488,0.010643694299631523,0.0056051607812819485,0.008043514115463623,0.00559274706265599,0.06686435875552334,179,gldm,138
log-sigma-5-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.006477159455895815,0.006233584457078477,0.0007348162337464645,0.01562592862425285,0.003767112558118847,0.008647742156009388,0.003610197707352564,0.11795835878166462,148,glszm,139
wavelet-LHH_glcm_JointEntropy,0.006455604722631759,0.00642711435800395,0.0017177377148165395,0.007091244364675262,0.0049668087773324255,0.010487090641056912,0.008015142115277632,0.07885047166749741,173,glcm,140
gradient_glszm_ZoneEntropy,0.006360485779751142,0.0058345007035911734,0.01050701976925265,0.007782361008337743,0.004929437345316527,0.0039503839699935395,0.004633226805854913,0.13999974483917332,136,glszm,141
original_glszm_LargeAreaEmphasis,0.006344403544353837,0.006295378117245489,0.003978131603759364,0.007696183179192564,0.003840769131617412,0.012076391611105172,0.004130542196094962,0.09999134922422129,159,glszm,142
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,0.006339297527326513,0.005346708121273068,0.015354368215637085,0.006555161221238656,0.000594218832664511,0.0009052343726662975,0.008287504994426579,0.28099754701257496,95,glszm,143
wavelet-HHH_glcm_JointEntropy,0.006335168751351955,0.006511387293201628,0.012914887505472554,0.004884227002635432,0.0029230343729072313,0.004322206938492593,0.006631487937251282,0.09338934589163794,165,glcm,144
lbp-3D-k_glszm_HighGrayLevelZoneEmphasis,0.0062556700188089506,0.006138093408780036,0.006747769373848751,0.00855270889678683,0.0005640475538138971,0.010461324096342456,0.004952500173252985,0.12546155739622125,142,glszm,145
log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.0062049628955941636,0.006430252947839152,0.00252238663810035,0.009987519474117088,0.00664580029886113,0.005932740041615498,0.005936368025276612,0.12684397069109596,140,gldm,146
exponential_firstorder_Maximum,0.00614349224152101,0.005691056046897148,0.0023274128286248255,0.010512470160493574,0.006006765953044203,0.009351964650758828,0.0025188476146842938,0.1200856720890553,146,firstorder,147
lbp-3D-m2_glszm_LargeAreaLowGrayLevelEmphasis,0.006081989429586131,0.0060902825223449406,0.006529731271812413,0.004302012095211594,0.0030820427290230755,0.0024346939243916742,0.014061467127492398,0.10417469397119339,155,glszm,148
wavelet-HHH_firstorder_InterquartileRange,0.006008307652443483,0.006724433527420661,0.010942736184509748,0.003214401845309146,0.001524936494567589,0.007155709352526727,0.007203754385304425,0.1509456695424607,129,firstorder,149
wavelet-LLH_glcm_Imc1,0.0059922688950701936,0.005892649900930174,0.006863481699700917,0.0036839681187403805,0.0041545742233800005,0.0013733851663210585,0.013885935267207886,0.16032859840387526,128,glcm,150
logarithm_firstorder_Mean,0.0059915158472783015,0.006250026879595488,0.002150924512859279,0.012127717172789383,0.005952870071447515,0.006874995033889281,0.0028510724454065954,0.07069533465106269,176,firstorder,151
wavelet-HHH_glcm_Idn,0.005712351688075129,0.005837989835128867,0.004431948657886031,0.014280879220188007,0.0012894458645817018,0.00460169712968945,0.003957787568030662,0.07797766578509623,174,glcm,152
lbp-3D-k_glrlm_HighGrayLevelRunEmphasis,0.005558005305326691,0.00596079367586546,0.003228773330081874,0.009521178554582658,0.001145061378652183,0.013272138959075848,0.0006228743042406068,0.11176781003370914,152,glrlm,153
log-sigma-5-0-mm-3D_glcm_ClusterShade,0.005384093272244147,0.005511872226252001,0.007234983259261989,0.005988119644916245,0.003974915030514507,0.005636293161152312,0.004086155265376199,0.14289572530623423,134,glcm,154
wavelet-LLL_gldm_LargeDependenceEmphasis,0.00512448098655472,0.004756285887794808,0.009683756230020784,0.003519867026691148,0.006089064582479755,0.005560455190448501,0.0007692619031332969,0.12233776293176533,144,gldm,155
log-sigma-5-0-mm-3D_firstorder_Skewness,0.004794267853341488,0.005492867281272875,0.007684043704680033,0.004301625928673462,0.007120068588657754,0.002532695695563203,0.0023329053491325724,0.10383561084672377,156,firstorder,156
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.004790918783506635,0.004805209570150679,0.003853162196084344,0.004328754958438164,0.006907699337596208,0.007888642822884848,0.0009763346025294933,0.06477439931053404,180,gldm,157
wavelet-LLH_glcm_Idn,0.004734721781751839,0.00459987731402291,0.00878920467953262,0.002976244975777912,0.002790144337178757,0.00806450243393357,0.0010535124823358145,0.11206907986762207,151,glcm,158
wavelet-LHH_firstorder_Maximum,0.0046762155382923005,0.0046786968490538094,0.0051730805308842645,0.006423829929000394,0.0006429185803957423,0.004670653168739612,0.00647059548244127,0.1098402124445839,153,firstorder,159
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.004648001476675076,0.004156783500477549,0.0011698652477423784,0.009723808148382227,0.006658953925136684,0.0018961955433051273,0.0037911845188083834,0.07010648671502609,177,gldm,160
lbp-3D-m1_glcm_Imc2,0.0046236858767550815,0.00470704444705987,0.0009410746068187972,0.006580759279114721,0.00403738080595406,0.007254204574889478,0.0043050101169980395,0.03659179171125427,196,glcm,161
log-sigma-3-0-mm-3D_firstorder_90Percentile,0.004575756691208544,0.004415240960267885,0.006679668884773501,0.002836496924859559,0.0019232259183880524,0.004209616960115188,0.007229774767905895,0.09592343551004176,162,firstorder,162
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,0.0042608336012589345,0.004094838967081633,0.008597119626301514,0.0014555653254301128,0.0020490346041487474,0.0019807834022160646,0.007221665048198331,0.0989553815204323,160,glszm,163
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.004234603647233482,0.004175204561456836,0.003862288538283473,0.004948855134334209,0.00344152953693366,0.003505427923112734,0.005414917103502999,0.10527179335068196,154,glszm,164
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.004207052834539622,0.004051043358679094,0.0019900000969419076,0.0021008611029601776,0.00577343726435394,0.003803225924531249,0.007367739783910809,0.16934973571108994,125,glszm,165
square_firstorder_Minimum,0.004103301048207552,0.004073477838872413,0.0024989837526272433,0.003511702504522796,0.004304615014742072,0.006064693418981033,0.004136510550165019,0.059807123208982946,184,firstorder,166
log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.004074576912066908,0.004297905659567292,0.007237970717944336,0.0025393237804044798,0.006394097217179016,0.002171626148872522,0.0020298666959342837,0.11207449148311728,150,glszm,167
squareroot_firstorder_Kurtosis,0.004061213368394688,0.0038325800440989805,0.00914365833731088,0.0007207795738229013,0.004228622437990313,0.0010938627150903083,0.005119143777759294,0.09627115845915239,161,firstorder,168
original_glrlm_LongRunLowGrayLevelEmphasis,0.003962161835299199,0.003744216309062826,0.006023055628096224,0.0009738792313510867,0.006614902989746589,0.002845769590534645,0.0033532017367673534,0.11865134737773901,147,glrlm,169
wavelet-LHH_firstorder_RootMeanSquared,0.0038309391376478005,0.0035686849859648505,0.0027768272020616516,0.002790901480908018,0.006539075557747777,0.00026144508430996213,0.006786446363211804,0.054209826444126794,190,firstorder,170
wavelet-HHH_firstorder_Variance,0.003734205047249634,0.004010562025802831,0.006690556867739893,0.002977872894033944,0.0021334524589286374,0.005189821918408069,0.0016793210971381167,0.12048366916605105,145,firstorder,171
wavelet-HLL_firstorder_Skewness,0.0036043519974895515,0.003889763313075409,0.006959790131241937,0.005959170953872614,0.001532699211870092,0.002324475129302941,0.0012456245611600528,0.06437535850486258,181,firstorder,172
log-sigma-5-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.003521521201550436,0.003426791839566788,0.008693813515503648,0.00014140714753978667,0.0036515150695534213,0.0027823631594028333,0.0023385071157526883,0.10219869471465719,157,glrlm,173
logarithm_glcm_MCC,0.0034535348759322623,0.0029316514166898414,0.003766989470664458,0.0003079406190467671,0.003816843856687797,0.008566151717623613,0.0008097487156386343,0.05571398065809693,188,glcm,174
log-sigma-5-0-mm-3D_firstorder_Maximum,0.003424199366508003,0.0028239779848171615,0.0064829572227083415,0.0023031138304108034,0.001073210351056145,0.0052781379654590595,0.0019835774629060896,0.1682411440466928,126,firstorder,175
lbp-3D-m2_glszm_LowGrayLevelZoneEmphasis,0.0033311399515024744,0.003528871987548558,0.004681336124475702,0.004708792017830726,0.001582638449457936,0.0034213546758650624,0.002261578489882754,0.08242201417778848,172,glszm,176
lbp-3D-k_glcm_Correlation,0.0033162616144419917,0.003144519813904899,0.004141364929252409,0.0035529423414325583,0.00033950997597005417,0.008162724727170941,0.0003847660983840834,0.05954444094141934,185,glcm,177
lbp-3D-m1_glszm_LargeAreaLowGrayLevelEmphasis,0.0031732173083742414,0.0032313276086369806,0.0047597512980433,0.0017698605728930412,0.0025177120670157485,0.0013888248237709333,0.005429937780148107,0.057953026723444365,187,glszm,178
lbp-3D-m2_glszm_HighGrayLevelZoneEmphasis,0.0030236255765771153,0.0031279229835347376,0.005640901335930566,0.001918162605511872,0.0012714586358561339,0.0034724777927041045,0.002815127512882346,0.05030249503985473,192,glszm,179
log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,0.0029606615839731566,0.0027518490355762306,0.005531792380451598,0.0038955712551201355,0.0018698615794814383,0.0010652875170202379,0.002440795187792566,0.06031023845885897,182,gldm,180
log-sigma-3-0-mm-3D_glcm_MaximumProbability,0.0029604368111835625,0.0032251243314597713,0.00688873987004455,0.001185302568769259,0.0015918276678049874,0.002672629667989125,0.0024636842813102033,0.10079733912318128,158,glcm,181
wavelet-HLL_glszm_ZonePercentage,0.0029454896844008194,0.0026963607796875767,0.004241599814840843,0.0019665616114272117,0.0014420054424976922,0.001680118953663384,0.005397162599574913,0.08668578354972127,170,glszm,182
logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,0.0029082371385819867,0.0034301983319615817,0.0034056139661522876,0.0019226182074533408,0.007104234390757162,0.0013619671064868503,0.0007467520220599976,0.09155361710966266,167,gldm,183
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.002825263014409578,0.0028092063537306362,0.002417852441264508,0.004795053368609991,0.001103655272940346,0.002280097521633614,0.003529656467599497,0.08793717000819784,169,gldm,184
square_firstorder_Skewness,0.002799045750434636,0.0028244909642361443,0.003955791519106108,0.002764915336805939,0.0013888160286312662,0.0033089017865048083,0.0025768040811248692,0.09169275388049593,166,firstorder,185
wavelet-HLH_glcm_MCC,0.0027708988531055774,0.002478879416637921,0.002138460666725806,0.004495780591771988,0.002354288113384623,0.0029569258383499836,0.001909039055295305,0.07504755509776916,175,glcm,186
wavelet-LLH_firstorder_InterquartileRange,0.0026185375187653417,0.002482803111233942,0.004984088399868896,0.000280449069882962,0.0012818063271613645,0.0033208969607546844,0.0032254468361585433,0.05880332622089053,186,firstorder,187
log-sigma-4-0-mm-3D_firstorder_Maximum,0.0025958609567175318,0.001507033714357627,0.0016567951302319192,0.006457183826090239,0.0010761839298454774,0.0025825685930215875,0.0012065733043979713,0.06760338885323777,178,firstorder,188
wavelet-HLH_glrlm_RunEntropy,0.0025832363616135456,0.002444202104081022,0.004939731502581572,0.0015183594014522184,0.0014718857537048984,0.0029673781150239076,0.002018827035304983,0.0556556341246096,189,glrlm,189
exponential_glrlm_RunVariance,0.0025440408660962945,0.002324542523934889,0.00044167323460684693,0.003388070632380191,0.002831378952031852,0.0036363946644308053,0.0024226868470315303,0.03500382695718076,198,glrlm,190
lbp-3D-k_firstorder_Kurtosis,0.0021522922066936965,0.0030124204522167064,0.0029846407630507088,0.002713843694480167,0.0006985937912702643,0.0020248240431004396,0.0023395587415670485,0.032419918511576114,200,firstorder,191
lbp-3D-m2_firstorder_Kurtosis,0.0021141689367682,0.002050981966247706,0.0012238256127324904,0.003142775018774537,0.0009817023806770013,0.0013097576551449604,0.003912784016512198,0.09550733349117162,164,firstorder,192
lbp-3D-k_glszm_ZoneVariance,0.0019411447474289927,0.0016964614537337734,0.0009546258034082138,0.0020859958822373337,0.0048195914242595535,0.000971396143143995,0.0008741144840958905,0.03009326317409072,202,glszm,193
log-sigma-4-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0018810654202832773,0.0018819385542975745,0.00468791372172766,0.0008576965081326648,0.0026786606347957874,0.0004485126532276362,0.0007325435835328624,0.05187810559029908,191,gldm,194
wavelet-LLL_glcm_Contrast,0.0018801942199768503,0.0016097001209274863,0.004405144460219637,0.00012549684397462693,0.0022942823733047993,0.0002974698467708279,0.0022785775756139458,0.08844309914840862,168,glcm,195
lbp-3D-m1_glszm_SmallAreaLowGrayLevelEmphasis,0.0018530956436300665,0.0016564231350911316,0.0015499267816040606,0.0036065059200767143,0.001031774709376973,0.0013848368776006165,0.0016924339294917972,0.036114634893757415,197,glszm,196
gradient_firstorder_Maximum,0.001849955946001371,0.0019372194627580953,0.0015606143969357034,0.004274298324363915,0.0003498758769103929,0.0018129066309398615,0.0012520845008566716,0.04348438665743588,193,firstorder,197
wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.001770990584603032,0.0014043086450644803,0.004091481427579928,0.001567635974902769,0.001065254886466648,0.0007763665138395292,0.0013542141202263535,0.08454514555703649,171,glszm,198
wavelet-HLH_glszm_ZonePercentage,0.0017336376297371402,0.0015833752939288725,0.0038386696257966127,0.0010051141394875713,0.000986036843464358,0.0016649417530307047,0.00117342578690672,0.059983910523454906,183,glszm,199
wavelet-HHH_glcm_MCC,0.0015815291478973414,0.001863597594012455,0.0018227223586496598,0.0037154370585338477,0.0010020535496946756,0.001008813158772182,0.0003586196138362206,0.042377358864356,194,glcm,200
gradient_glcm_ClusterProminence,0.0015353171445323904,0.00157435299011895,0.0009157723605926128,0.002488315167514035,0.000851173050990825,0.0020474901758178623,0.001373834967746622,0.025247205544569502,204,glcm,201
logarithm_gldm_LowGrayLevelEmphasis,0.0013006809108345623,0.0015665028626170748,0.0014345581633646897,0.0013115872445900228,0.003234724939141422,0.00039685593200532203,0.00012567827507148246,0.030316307404018392,201,gldm,202
wavelet-HLH_glcm_ClusterProminence,0.0012840594318382092,0.001108350011657137,0.0032014415849172828,7.000016973045867e-05,0.0011182689629722026,0.0013984553766325037,0.0006321310649385286,0.03297093184744949,199,glcm,203
square_glcm_Idn,0.0012149210078272836,0.002676860113187267,8.220094891615181e-05,0.0003521838701793965,0.0029591083295345518,0.00038986451366333644,0.002291247376843041,0.021207512380363353,206,glcm,204
wavelet-LLH_firstorder_Entropy,0.0010638109175539947,0.0008840950088003449,0.00011950587566244326,0.00011539117317651064,0.0004432872374364663,0.0025398157939169295,0.0021010545075776004,0.025061746167217475,205,firstorder,205
log-sigma-3-0-mm-3D_firstorder_Maximum,0.0009245680298268144,0.0005011883927092925,0.0009353386301284339,0.0021003702103487157,0.0005591782229736952,0.0005688337035555526,0.0004591193821275798,0.025777236408325844,203,firstorder,206
gradient_glcm_Correlation,0.0008208947554675895,0.0009893681470043967,0.0012679423920333537,0.0005613363428787129,0.0010883549712956534,0.0004145060444111516,0.00077233402671907,0.01613615016854622,208,glcm,207
squareroot_glrlm_LongRunLowGrayLevelEmphasis,0.0007875788120201839,0.0007474581878959033,0.0009990196474398121,0.0006311294420228966,0.0019667441673113773,0.00020504851421276456,0.00013595228911404762,0.021013038119718726,207,glrlm,208
gradient_gldm_DependenceNonUniformity,0.0006566636752314993,0.0006995836932444354,0.0003594313137606777,0.001641659188078772,0.0004684605808438763,0.0004470705059324152,0.00036669678754178186,0.01608362035646274,209,gldm,209
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.0006562645249993513,0.0010241973055228617,0.0011898881804921155,0.00018128601972071658,0.00026927329934147706,0.001415051514249723,0.00022582361119282372,0.01314390135148507,210,glrlm,210
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.0005279918581966562,0.0011047274543698586,0.0004101454470914732,0.0002472189065211286,0.0012208011947583738,0.0003445808700678669,0.0004172128725444474,0.010489816156732022,213,gldm,211
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.0005257651467308431,0.0007598473967038023,0.000768190875675031,0.0002842153883546716,0.00027110564769953826,0.0011508906728925575,0.00015442314903235083,0.009687333123415477,214,glrlm,212
wavelet-LHH_glszm_ZoneEntropy,0.0004786253777006498,0.00020671685209571735,8.268414268991378e-05,0.00039683552152020073,0.00015910178857838256,0.001196563444251631,0.0005579419914631389,0.008360432176762682,215,glszm,213
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.0003524881249776842,0.00015360932966084216,0.0001460234694897169,0.0003729578716573837,0.00042663146376020175,0.00045458884868397853,0.00036223897129707876,0.005003979285043072,217,glrlm,214
log-sigma-5-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.0003363606606920506,0.00040386395743947576,0.0006382120942399853,0.0003002700646805306,0.00025811312176130723,0.0001449082502420802,0.0003402997725363479,0.012933765119414232,211,glszm,215
gradient_gldm_DependenceEntropy,0.0003338995851247293,0.00030378361528589744,8.66196052728951e-05,0.0008347489628118209,0.0002939294176626817,0.00025632625920784776,0.00019787368066839637,0.007384158146416248,216,gldm,216
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,0.00032194793033923024,0.0004070315391338063,0.0002189943499415559,0.0006804913441468985,0.0003645141674418431,0.0001244408476766976,0.00022129894248918897,0.011031824244570552,212,glszm,217
lbp-3D-m1_gldm_DependenceNonUniformity,0.00029408772962821283,0.00014225891374754194,0.0001060781784655903,0.00019528719198859862,0.0006806620437130918,0.00042140432889356056,6.700690508021037e-05,0.004935458412444879,218,gldm,218
wavelet-LHL_glcm_Correlation,0.00018813230750132893,0.00021573478429002133,5.842214684354987e-05,7.370999511033487e-05,0.0001640351705808735,0.00039662077364297426,0.00024787345132888726,0.00339939414341928,220,glcm,219
wavelet-HLH_glcm_ClusterShade,0.0001543466655156403,0.00025367016198209056,3.5813683335652234e-05,4.1885226635605725e-05,0.00030816775381785013,0.00014881453219454043,0.00023705213159456908,0.001338251820440761,223,glcm,220
log-sigma-5-0-mm-3D_firstorder_TotalEnergy,0.00010385292974111941,0.00012225471723143798,6.349168568502465e-05,0.00011689084540190743,8.990648152793492e-05,3.491740567096517e-05,0.00021405823041976412,0.004419497063601723,219,firstorder,221
gradient_firstorder_Minimum,0.00010217534747039605,5.04148538503886e-05,5.66351877581027e-05,0.00016658243052664312,0.0002554383686759892,1.7784172585748936e-05,1.4436577805491763e-05,0.0021430030869406718,221,firstorder,222
wavelet-HLH_firstorder_RootMeanSquared,8.937607574561226e-05,3.59903132897227e-05,1.611764646696293e-05,4.196141994286306e-06,1.4326427550012895e-05,0.0002196645842353126,0.00019257557848147798,0.001861507172601129,222,firstorder,223
log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,8.677897851882662e-05,0.0001261269889125924,6.66076857318438e-06,6.255210409539626e-05,6.568076942785614e-05,0.00021694744629706373,8.205380420062803e-05,0.0007780505024901468,225,glszm,224
lbp-3D-m1_glszm_SmallAreaHighGrayLevelEmphasis,7.496829963514733e-05,3.2259246810785084e-05,1.4537681601753683e-05,2.9615940682484093e-05,0.00013437767881365842,0.00018742074908786863,8.889447989973764e-06,0.0013166010497370957,224,glszm,225
log-sigma-4-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226,gldm,226
square_firstorder_Variance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227,firstorder,227
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,gldm,228
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,gldm,229
original_firstorder_TotalEnergy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,firstorder,230
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,gldm,231
wavelet-HHH_glcm_JointEnergy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232,glcm,232
wavelet-HLL_glcm_MaximumProbability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,glcm,233
log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,glszm,234
log-sigma-5-0-mm-3D_gldm_LowGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,gldm,235
lbp-3D-m1_gldm_LargeDependenceHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453,gldm,236
wavelet-LHH_firstorder_Range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238,firstorder,237
wavelet-HHH_glszm_LargeAreaEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239,glszm,238
wavelet-LHL_glcm_MCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,glcm,239
gradient_glszm_SmallAreaLowGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,glszm,240
lbp-3D-m1_glcm_InverseVariance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,glcm,241
wavelet-LHL_glcm_Idn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243,glcm,242
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,glszm,243
lbp-3D-k_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486,gldm,244
log-sigma-4-0-mm-3D_glcm_Idn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246,glcm,245
wavelet-HHL_glcm_Correlation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247,glcm,246
wavelet-LHH_glcm_Imc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248,glcm,247
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249,glszm,248
wavelet-LHH_glcm_Idn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,glcm,249
gradient_glcm_JointEnergy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485,glcm,250
gradient_glszm_LowGrayLevelZoneEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,glszm,251
exponential_gldm_DependenceNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254,gldm,252
log-sigma-5-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255,gldm,253
logarithm_glcm_Idn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,glcm,254
lbp-3D-m1_glcm_Correlation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,glcm,255
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258,glszm,256
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259,glszm,257
lbp-3D-m1_glszm_ZonePercentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,glszm,258
lbp-3D-m2_glcm_InverseVariance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261,glcm,259
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,glrlm,260
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263,gldm,261
gradient_firstorder_Variance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264,firstorder,262
wavelet-HLH_firstorder_Variance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,firstorder,263
gradient_glszm_LargeAreaEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266,glszm,264
square_gldm_LargeDependenceHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267,gldm,265
lbp-3D-m2_glszm_ZonePercentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237,glszm,266
wavelet-HLL_glszm_GrayLevelNonUniformity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516,glszm,267
wavelet-HLL_firstorder_Median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508,firstorder,268
wavelet-LHH_glszm_LargeAreaEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269,glszm,269
square_firstorder_RobustMeanAbsoluteDeviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,firstorder,270
wavelet-LHH_glszm_GrayLevelNonUniformity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271,glszm,271
wavelet-HHH_glszm_GrayLevelNonUniformity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272,glszm,272
wavelet-HHL_glszm_GrayLevelNonUniformity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273,glszm,273
wavelet-HLH_glszm_GrayLevelNonUniformity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274,glszm,274
lbp-3D-m2_firstorder_Minimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275,firstorder,275
wavelet-LLL_firstorder_Kurtosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,firstorder,276
log-sigma-5-0-mm-3D_glcm_JointEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277,glcm,277
gradient_glcm_JointEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,glcm,278
