feature,mean_abs_shap_all,mean_abs_shap_test,mean_abs_shap_class_1,mean_abs_shap_class_2,mean_abs_shap_class_3,mean_abs_shap_class_4,mean_abs_shap_class_5,importance,importance_rank,feature_class,shap_rank
gradient_glszm_SizeZoneNonUniformity,0.025012491814528595,0.026301967773343485,0.004895259758333868,0.04225145603481566,0.016185863735841806,0.04598361450340278,0.015746265040249566,0.6655601442746106,43,glszm,31
log-sigma-3-0-mm-3D_glcm_MCC,0.024828666609975604,0.025243058946600273,0.03263516559178432,0.029104345049498343,0.010031887632711827,0.035852508266606575,0.016519426509276083,1.0738408341861996,27,glcm,32
logarithm_firstorder_TotalEnergy,0.024749424473039214,0.024349527313449425,0.029594052014516637,0.03227950916807956,0.01266088488465565,0.030280391810825907,0.01893228448711601,1.408871396566541,18,firstorder,33
lbp-3D-m2_glcm_JointEntropy,0.023693579787169832,0.02261175138980122,0.028990333167834056,0.01587947043481213,0.03413411904290703,0.009062689178530713,0.03040128711176694,0.8288032261357352,37,glcm,34
original_glcm_Imc2,0.023515249037646475,0.02105218364577604,0.022339949283774623,0.022624857586679117,0.014133865402555344,0.0536135807104596,0.004863992204764562,0.6749384141915475,41,glcm,35
original_shape_Sphericity,0.02266749661546923,0.023533651881004168,0.02082217533729616,0.026285546567476538,0.009932107269008988,0.011239423192031516,0.04505823071153363,1.0301130219656107,30,shape,36
logarithm_glcm_ClusterShade,0.0226533288128267,0.023117789751099686,0.015416441712482791,0.03742761281549365,0.006624939625583028,0.03020326948783971,0.023594380422734967,0.5677724250853378,52,glcm,37
lbp-3D-m2_glcm_ClusterProminence,0.022561997970736165,0.024553160135106895,0.042723874054275475,0.005376850601477615,0.040249322388370874,0.014629167419239301,0.009830775390316893,0.6354601602708786,45,glcm,38
lbp-3D-k_gldm_DependenceNonUniformityNormalized,0.02253110912291759,0.02262254051194293,0.017439774307651416,0.015130739148068754,0.023757259351573794,0.007128473640548451,0.049199299166746306,1.6048190390063684,11,gldm,39
original_firstorder_Kurtosis,0.021555441773571476,0.021170724869366674,0.02188107828719061,0.020451299008721016,0.011556227138018373,0.01522377692973677,0.03866482750419309,1.1287397767637146,23,firstorder,40
original_shape_MajorAxisLength,0.020938643760191666,0.020632910180930525,0.020968267418178522,0.02510429932786006,0.006277212412163675,0.01036777482192383,0.04197566482083241,0.8312871808392327,36,shape,41
original_shape_SurfaceArea,0.02085659100531715,0.02126243860730604,0.02315355301436377,0.025697468471591354,0.00615382887662787,0.016824224975629604,0.03245387968837211,0.6603189621583317,44,shape,42
gradient_glszm_GrayLevelNonUniformity,0.020742301329365435,0.020235494670118842,0.012591301921412557,0.03425446069433901,0.005539805932020031,0.025986815992572663,0.02533912210648413,0.6259279315657811,46,glszm,43
lbp-3D-k_glszm_GrayLevelVariance,0.02069977238794771,0.020835528447323358,0.021992051580218053,0.01421613892142977,0.005307670237384992,0.05044577974571094,0.01153722145499444,0.6175344322349526,49,glszm,44
wavelet-LLH_firstorder_Range,0.02046985089347929,0.019113513831005912,0.018239164439554232,0.01473262331948217,0.018201318688108235,0.014324090977174932,0.03685205704307199,0.4785811937676875,59,firstorder,45
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0202540637433473,0.020013883215058703,0.016806184696582505,0.03380832208256626,0.008267558710329281,0.011927022678733027,0.03046123054852417,0.5497459391206164,56,glszm,46
